"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S770","2020-03-25 00:00:00","375.000","350.000","0.500","19.900","0.950","973.600","","0.000","-99.000","-99.000","-99.000","23.300","","19.400",""
"C0X230","2020-03-25 00:00:00","29.000","12.000","0.800","21.200","0.910","1013.500","","0.000","-99.000","-99.000","-99.000","25.700","","20.000",""
"C0B010","2020-03-25 00:00:00","38.000","48.000","1.500","21.000","1.000","1009.600","","4.000","-99.000","-99.000","-99.000","22.000","","18.400",""
"C0R490","2020-03-25 00:00:00","49.000","8.000","2.000","23.300","0.880","1009.000","","0.000","-99.000","-99.000","-99.000","28.100","","22.300",""
"C0V440","2020-03-25 00:00:00","27.000","347.000","1.500","23.100","0.780","1011.500","","0.000","-99.000","-99.000","-99.000","27.900","","21.200",""
"C0AC80","2020-03-25 00:00:00","40.000","38.000","1.700","21.400","0.910","1011.000","","0.000","-99.000","-99.000","-99.000","24.100","","18.400",""
"CM0140","2020-03-25 00:00:00","26.000","325.000","0.500","23.600","0.730","1014.200","","0.000","-99.000","-99.000","-99.000","25.500","","22.200",""
"C0SA20","2020-03-25 00:00:00","857.000","345.000","1.700","16.700","1.000","921.100","","0.500","-99.000","-99.000","-99.000","19.300","","15.900",""
"C0K490","2020-03-25 00:00:00","91.000","97.000","0.400","21.300","0.900","1004.900","","0.000","-99.000","-99.000","-99.000","26.600","","19.700",""
"C0V820","2020-03-25 00:00:00","441.000","156.000","0.500","20.300","0.990","967.800","","0.000","-99.000","-99.000","-99.000","25.700","","19.100",""
"C0S810","2020-03-25 00:00:00","65.000","335.000","1.500","22.200","0.860","1011.400","","0.000","-99.000","-99.000","-99.000","26.700","","21.200",""
"C0R580","2020-03-25 00:00:00","10.000","27.000","0.500","23.400","0.870","1013.600","","0.000","-99.000","-99.000","-99.000","28.100","","22.300",""
"C0Z330","2020-03-25 00:00:00","488.000","0.000","0.200","18.800","0.990","963.600","","0.500","-99.000","-99.000","-99.000","23.700","","17.000",""
"C0E590","2020-03-25 00:00:00","40.000","109.000","1.200","19.800","0.990","1010.200","","0.000","-99.000","-99.000","-99.000","25.400","","18.000",""
"C0D540","2020-03-25 00:00:00","227.000","185.000","0.400","19.400","0.950","990.400","","0.000","-99.000","-99.000","-99.000","26.600","","17.000",""
"C0K420","2020-03-25 00:00:00","42.000","13.000","1.200","21.900","0.900","1010.600","","0.000","-99.000","-99.000","-99.000","26.700","","19.500",""
"C0Z180","2020-03-25 00:00:00","34.000","241.000","0.900","21.000","0.900","1012.600","","0.000","-99.000","-99.000","-99.000","24.600","","20.200",""
"C0M720","2020-03-25 00:00:00","225.000","88.000","0.300","20.900","0.920","989.700","","0.000","-99.000","-99.000","-99.000","25.100","","18.500",""
"C0V450","2020-03-25 00:00:00","51.000","0.000","0.100","21.500","0.990","1008.900","","0.000","-99.000","-99.000","-99.000","28.000","","21.200",""
"C0R280","2020-03-25 00:00:00","242.000","63.000","1.800","21.700","0.950","988.300","","0.500","-99.000","-99.000","-99.000","25.000","","20.400",""
"C0E610","2020-03-25 00:00:00","850.000","0.000","0.000","17.900","0.950","922.100","","0.000","-99.000","-99.000","-99.000","22.900","","15.200",""
"C0V610","2020-03-25 00:00:00","22.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0Z310","2020-03-25 00:00:00","59.000","353.000","0.800","21.200","0.990","1010.400","","0.000","-99.000","-99.000","-99.000","24.500","","19.400",""
"C0S700","2020-03-25 00:00:00","507.000","0.000","0.100","17.400","1.000","960.500","","0.000","-99.000","-99.000","-99.000","22.400","","17.400",""
"C0T9G0","2020-03-25 00:00:00","605.000","0.000","0.200","17.900","0.990","950.600","","0.500","-99.000","-99.000","-99.000","19.500","","15.800",""
"C0U520","2020-03-25 00:00:00","517.000","0.000","0.200","17.800","0.990","960.500","","0.500","-99.000","-99.000","-99.000","19.900","","14.800",""
"C0E750","2020-03-25 00:00:00","62.000","166.000","1.100","21.200","0.890","1007.800","","0.000","-99.000","-99.000","-99.000","25.400","","19.000",""
"C0G660","2020-03-25 00:00:00","27.000","357.000","2.100","23.100","0.890","1013.700","","0.000","-99.000","-99.000","-99.000","27.500","","20.100",""
"C0U720","2020-03-25 00:00:00","1260.000","300.000","0.800","14.000","1.000","889.800","","1.000","-99.000","-99.000","-99.000","16.100","","12.500",""
"C0R690","2020-03-25 00:00:00","248.000","28.000","1.700","21.400","0.930","986.400","","0.000","-99.000","-99.000","-99.000","27.100","","20.700",""
"C0X150","2020-03-25 00:00:00","18.000","19.000","0.500","22.400","0.900","1014.800","","0.000","-99.000","-99.000","-99.000","27.100","","21.200",""
"C0Z050","2020-03-25 00:00:00","830.000","0.000","0.200","17.100","0.980","926.100","","0.000","-99.000","-99.000","-99.000","18.900","","16.100",""
"C0I490","2020-03-25 00:00:00","1601.000","213.000","1.500","13.700","0.990","844.100","","0.000","-99.000","-99.000","-99.000","22.500","","13.000",""
